rot0	rot1	rot2	rot3
5.27465	5.36359	5.24699	5.31021
5.27172	5.34782	5.26738	5.34132
5.27975	5.34981	5.28165	5.35892
5.28554	5.3533	5.28576	5.36241
5.2968	5.36348	5.29126	5.36627
5.31323	5.37887	5.30607	5.37912
5.3193	5.38353	5.31049	5.38174
5.25961	5.32138	5.25235	5.32091
5.35974	5.42077	5.38844	5.45722
5.3816	5.44105	5.36127	5.42764
5.37834	5.43592	5.34894	5.41326
5.36068	5.41635	5.34278	5.40505
5.35025	5.40417	5.34159	5.40201
5.35023	5.40267	5.31072	5.36864
5.35508	5.40579	5.36468	5.42162
5.342	5.39099	5.35936	5.41425
5.36622	5.37697	5.33548	5.42484
5.39068	5.33855	5.29021	5.43849
5.31273	5.40779	5.35824	5.35562
5.29765	5.40384	5.35697	5.33885
5.30696	5.38711	5.34233	5.34728
5.31121	5.36641	5.3254	5.35231
5.31727	5.35799	5.3176	5.3563
5.31435	5.34892	5.311	5.35284
5.31572	5.3483	5.31058	5.35167
5.31117	5.34296	5.30785	5.34674
5.31264	5.34389	5.30915	5.34602
5.30891	5.33919	5.30709	5.34214
5.31127	5.34056	5.30872	5.3424
5.30825	5.33637	5.30695	5.3393
5.3111	5.33821	5.30891	5.34011
5.57164	5.52356	5.49459	5.60105
5.34077	5.38856	5.36242	5.36913
5.3079	5.36776	5.34237	5.33422
5.30948	5.35646	5.3312	5.3343
5.30873	5.34154	5.31868	5.33427
5.31224	5.33648	5.31329	5.33615
5.30853	5.329	5.3075	5.33259
5.30991	5.32925	5.30717	5.33214
5.30569	5.32465	5.30429	5.32819
5.30748	5.32638	5.30552	5.32839
5.30403	5.32259	5.30344	5.32539
5.30663	5.32492	5.30514	5.32645
5.30382	5.32166	5.30346	5.32416
5.30688	5.32445	5.30551	5.32575
5.30441	5.32162	5.30414	5.32387
5.30772	5.32474	5.30645	5.32578
5.30543	5.32217	5.30527	5.32417
5.30886	5.32555	5.30773	5.32628
5.30667	5.32314	5.30666	5.32483
5.31016	5.32663	5.30918	5.32708
5.308	5.32432	5.30813	5.32569
5.3115	5.32788	5.31066	5.32803
5.30931	5.32562	5.30958	5.32672
5.31281	5.32922	5.3121	5.32906
4.96694	4.97825	5.65462	5.67646
5.43786	5.4552	5.19037	5.20458
5.50487	5.52244	5.12019	5.13328
5.59563	5.54302	5.02195	5.1069
5.81323	4.7683	4.81556	5.89412
5.15478	5.12344	5.47463	5.52725
5.38957	5.25509	5.26217	5.39298
5.80682	5.29878	4.83512	5.34605
5.51406	5.24194	5.18352	5.37061
5.22577	5.37404	5.56352	5.16924
5.58506	4.95935	5.24903	5.53298
5.07739	5.18888	5.8086	5.34069
4.37131	6.14526	6.44158	4.53361
4.61003	6.19705	6.09006	4.7367
5.06993	5.88063	5.6426	5.19265
4.20597	6.178	6.5975	4.91795
1.54488	8.56634	9.2146	2.6652
5.24085	5.41756	5.51308	5.80308
7.98889	4.01645	3.29742	6.50763
9.19454	3.37958	2.51773	6.63101
4.99276	6.60842	5.92833	4.4427
6.61555	5.14161	3.27773	7.36307
5.18151	5.03735	3.88037	8.80753
5.10943	5.75655	5.0083	7.64455
8.20068	5.77272	3.86595	6.16853
7.87947	1.89377	3.86542	10.7591
4.1416	7.5186	8.43019	4.43412
4.42051	8.26673	8.76527	2.81135
5.21115	7.18228	7.36175	4.01101
5.84901	5.96659	6.48127	5.05241
6.07925	5.33989	6.12797	5.46002
6.05543	5.19999	5.98917	5.4979
5.93761	5.24905	5.91743	5.39543
5.82992	5.3146	5.86915	5.29676
5.74683	5.32805	5.82384	5.23637
5.69416	5.31871	5.7822	5.21203
5.6533	5.29254	5.73708	5.20173
5.62658	5.27661	5.69602	5.20083
5.59961	5.25915	5.65488	5.19813
5.58042	5.2529	5.6209	5.19946
5.55784	5.24182	5.58804	5.19803
5.54186	5.23895	5.56164	5.20095
5.52182	5.23003	5.53475	5.20124
5.50811	5.22881	5.51289	5.20571
